EmployeeID,NationalIDNumber,LoginID,Title,PhoneNumber,BirthDate,MaritalStatus,Gender,HireDate,Dept,Salary,Job Grade,CurrentFlag,rowguid
22,835460180,adventure-works\stuart0,J. Phillip Alexander,8898940529,23-07-1966 00:00,S,M,08-07-2015 00:00,Logistics,600,Operations,-1,{4F361B4F-7920-4037-9A0A-46D616F9B9C7}
23,687685941,adventure-works\greg0,Michelle Alexander,9027512492,27-08-1974 00:00,S,M,08-07-2015 00:00,Human Resource,4406,Management,-1,{A36B5D6B-72A5-47F8-9F6B-5D922130E760}
24,498138869,adventure-works\david1,Sean Jacobson,8963819693,11-09-1983 00:00,S,M,08-07-2015 00:00,Finance,2042,Operations,-1,{ED7EE92E-A9D0-4E3A-8DEE-4B143E459F7E}
25,360868122,adventure-works\zheng0,Phyllis Allen,9529057613,04-09-1987 00:00,S,M,09-07-2015 00:00,Production,664,Operations,-1,{C75F2740-ACE3-4EBF-91C5-7AB352E1095F}
26,964089218,,Marvin Allen,8180845853,12-11-1985 00:00,M,M,10-07-2015 00:00,Production,3723,Admin,-1,{D83A26F3-7EA7-477B-A5BB-7EAADFC13A09}
27,384162788,,Michael Allen,9173803536,22-09-1984 00:00,S,M,10-07-2015 00:00,Finance,1161,Admin,-1,{0217049E-1566-42B6-8027-41B751E2B00B}
28,749389530,,Cecil Allison,8745215537,03-02-1981 00:00,S,M,10-07-2015 00:00,Human Resource,1711,Operations,-1,{2E680C1C-7C02-4343-9626-6F97273414C0}
29,571658797,,Oscar Alpuerto,8976864266,08-04-1990 00:00,M,M,11-07-2015 00:00,Finance,3199,Operations,-1,{65207627-5521-4A8E-AD3C-B2F1B5226B85}
30,535145551,,Sandra Altamirano,7913493451,21-12-1979 00:00,M,F,12-07-2018 00:00,Production,1513,Operations,-1,{65028F15-4149-4DE5-B203-9D7EC86BAF87}
31,761597760,,Selena Alvarado,7935059565,14-10-1992 00:00,S,M,12-07-2015 00:00,Production,3978,Admin,-1,{8C7321D2-2C64-4902-9D64-8F5C1EB7F747}
32,271438431,,Emilio Alvaro,8361639480,04-07-1988 00:00,S,M,13-07-2018 00:00,Sales,3639,Admin,-1,{A6F5F72F-AA03-41B7-8B6E-B123BD360753}
33,160739235,,Maxwell Amland,8839361674,05-06-1987 00:00,S,M,13-07-2015 00:00,Sales,1134,Operations,-1,{6FFF136A-9664-4EB9-9243-FAC76E21B9DD}
34,586486572,,Mae Anderson,9085690821,27-12-1981 00:00,S,F,13-07-2015 00:00,Finance,2298,Operations,-1,{923ECFD6-E202-429A-9141-6CB183531439}
35,337752649,,Ramona Antrim,9325873148,25-01-1981 00:00,M,M,13-07-2017 00:00,Logistics,3843,Admin,-1,{A8838AB2-99DE-415C-8675-D82EBF1C4752}
36,113695504,,Sabria Appelbaum,9077301941,05-12-1981 00:00,M,F,13-07-2015 00:00,Human Resource,3880,Admin,-1,{7E632B21-0D11-4BBA-8A68-8CAE14C20AE6}
37,276751903,,Hannah Arakawa,9324743639,26-03-1994 00:00,S,M,14-07-2015 00:00,Production,3967,Management,-1,{F734D38A-56B5-471E-8DED-A682E958A9B3}
38,630184120,,Kyley Arbelaez,9565066174,15-12-1992 00:00,S,M,14-07-2018 00:00,Production,561,Operations,-1,{2BCA07D3-F2AC-4406-904F-E09156F3EB3E}
39,545337468,,Tom Johnston,8966738613,26-09-1988 00:00,S,M,15-07-2015 00:00,Production,1395,Operations,-1,{4FD6FE82-535A-4DD1-BEB1-154A8B5E42F0}
40,713403643,,Thomas Armstrong,8858223510,22-02-1993 00:00,M,F,15-07-2015 00:00,Finance,548,Operations,-1,{83C6DABF-FD7D-4F5B-BB22-EB7EEBB9A772}
41,885055826,,John Arthur,9381342483,26-01-1980 00:00,M,M,15-07-2018 00:00,sales,1355,Admin,-1,{E249D613-36C9-4544-9B6F-6CE50E5E0DA5}
42,441044382,,Chris Ashton,9079093161,22-10-1979 00:00,S,F,17-07-2015 00:00,Logistics,,Admin,-1,{794A0B1F-C46A-401C-984D-008996FC7092}
43,718299860,,Teresa Atkinson,8356815969,04-10-1976 00:00,M,M,18-07-2018 00:00,Logistics,,Admin,-1,{6B10192F-D570-47C4-82C9-3D979B1EFDC1}
44,685233686,,John Ault,9003657452,27-07-1972 00:00,S,M,18-07-2015 00:00,Sales,,Operations,-1,{13909262-4136-492F-BCA3-0B0E3773B03E}
45,295971920,,Robert Avalos,9216197279,04-05-1993 00:00,S,M,18-07-2017 00:00,Production,,Admin,-1,{45358AE8-0B0E-4C11-90BB-DAC3EC0D5C82}
46,95958330,,Stephen Ayers,8377264523,30-03-1991 00:00,S,M,18-07-2015 00:00,Production,1808,Operations,-1,{AF21F1B7-0691-48AD-B325-B8F2D7B2268A}
47,332040978,adventure-works\willis0,Phillip Bacalzo,8725951585,27-05-1982 00:00,S,M,19-07-2018 00:00,Human Resource,2533,Admin,-1,{A1D86ECC-EA17-4B1B-8369-F1D07AB0A469}
48,857651804,adventure-works\jun0,Daniel Blanco,8987113863,15-05-1983 00:00,S,M,20-07-2018 00:00,Finance,3110,Management,-1,{9C5F84D1-FB96-4D82-92A1-F932903DEAAD}
49,553069203,adventure-works\christian0,Cory Booth,8971548600,27-11-1979 00:00,M,M,20-07-2015 00:00,Finance,4491,Management,-1,{4611C7C5-90A0-407F-B054-93BD51533609}
50,351069889,adventure-works\susan1,Mark Anderson,8216946197,09-02-1987 00:00,S,F,20-07-2015 00:00,sales,2679,Operations,-1,{F73D75D5-B47B-46EE-AD11-7BF13DD6C55D}
