customer_id,full_name,email,phone,alt_phone,dob,gender,address,city,state,country,zipcode,signup_date,last_purchase_date,total_orders,total_spent,preferred_channel,is_active,notes,marketing_opt_in,loyalty_tier,device_type,ip_address,latitude,longitude,internal_id,legacy_code,tmp_score,random_blob,tracking_cookie,third_party_id
3386,Sara Verma,sara8718@outlook.com,(91)8297676994,(91)7463213857,2001-06-02,Female,"24, Brigade Rd",Mumbai,MH  ,India,958181,2017-09-29,2020-11-16,6,6045.43,SMS,Y,Call after 6PM,Y,None,iOS,110.183.124.199,14.215152,77.073762,INT-930520,,41.53,,,
9315,Vihaan Das,vihaan-das@ksrdatavizon.in,7767563656,,1971-12-13,Male,"27, CG Road",Pune, MH,India,761646,2017-01-20,2019-08-01,5,10727.59,SMS,N,,no,Gold,Web,94.12.101.34,8.701663,71.083818,INT-594261,,29.74,LGsAGwXwcdaJSivl,,
4393,Sai Verma,sai.verma@outlook.com,,,2001-02-09,Male,"202, CG Road",Trichy,TN,India,758101,2018-03-24,2021-04-17,6,5722.49,Whatsapp,False,VIP customer,N,Silver,iOS,133.150.55.99,20.723249,80.73422,INT-644260,,34.17,,,
7532,Isha Mukherjee,isha5450@outlook.com,(91)6738306277,6249639609,1978-07-12,Other,"45, Park Street",Vijayawada,AP,India,886073,2021-03-08,2025-08-02,5,4037.03,Push,False,Wrong email?,yes,Platinum,iOS,120.24.200.239,22.999437,83.249097,INT-979733,LC-250,72.23,,,TP-9594
13434,Aarohi Reddy,aarohi8357@outlook.com,(91)9414483619,,1966-02-12,Male,"156, MG Road",Vijayawada,AP,India,899698,2018-04-18,2024-11-28,8,11611.38,SMS,N, ,N,None,Android,181.192.86.104,9.966433,68.729568,INT-366333,,67.09,,o7xs7e9zfki9gxxus09f7f4h,TP-1864
11083,Sai Reddy,sai4802@yahoo.com,6920128159,8814261922,,Male,"133, Park Street", Pune, MH,India,538302,2021-08-05,2021-12-10,4,10073.59,Whatsapp,0,Call after 6PM,False,Silver,Android,6.119.62.99,27.841621,77.156744,INT-211021,LC-947,53.5,KKBiM3n7HBjiSrrG,of0lxg2eierz8t7lc024d9il,TP-8037
1,Sara Khan,sara@@ksrdatavizon.in,,,1973-08-10,Other,"45, MG Road",Kochi,KL,India,986294,2021-12-23,2023-03-28,4,4917.13,SMS,1,Call after 6PM,Y,Bronze,Web,227.14.143.44,18.398577,69.672056,INT-800604,LC-710,39.41,,,TP-7082
2658, Aarav Gowda  ,aarav@@example.com,7181876334,,,Male," 90, Brigade Rd",Pune,MH,India,690288,2025-04-13,2025-06-12,3,5082.17,Whatsapp,1,Call after 6PM,N,Bronze,iOS,176.96.131.109,27.412577,85.293599,INT-320957,,59.45,,,TP-7629
7837,Vivaan Chettiar,vivaan.chettiar@gmail.com.com  ,(91)9937060809,8360470846,1979-10-18,Male,"124, FC Road",Trichy  ,TN,India,068130,2018-03-11,2023-12-07,5,5052.09,SMS,0,,yes,Silver,Android,56.63.156.1,16.928111,75.790435,INT-679595,,56.39,,c0gsbt761ryykkn2hdomwy2f,TP-8034
9128,Sai Verma,sai@@yahoo.com,8704832155,(91)6187064343,,,"256, FC Road",Hyderabad,TS,India,286064,2019-09-20,2021-10-10,4,5243.62,Push  ,0,Duplicate lead  ,yes,Silver,Android,41.69.181.243,26.845107,85.082176,INT-722360,LC-841,29.07,3lwFEKZrPGTRU77X,pucdoejze0tqn9abs1eiwvi6,
2946,Krishna Kulkarni,krishna@yahoo.com,6740755850,,1970-03-02,Male,"104, Banjara Hills",Trichy,TN,India,321717,2022-01-18,2022-05-19,10,9315.66,Push,N,,True,Bronze,iOS,167.161.109.106,18.202979,76.874324,INT-607420,,55.02,,,
3270,Meera Verma,meera@@yahoo.com,(91)7215729388,(91)6016718620,,Male,, Pune  ,MH,India,474866,2023-06-12,2024-09-27,4,4886.21,Email,False,,True,Bronze,Android,139.72.53.14,14.011667,80.113357,INT-643563,,32.67,,,
218,Aditya Prasad,aditya.prasad@yahoo.com.com,9525802070,(91)6174061630,1986-04-22,,"173, Banjara Hills",Lucknow,UP,India,994732,2025-05-12,2025-08-30,6,15572.92,SMS,0,Call after 6PM  ,no,Gold,Android,125.132.125.114,13.437044,82.297748,INT-430694,,58.03,,,
5935, Meera Kulkarni,meera.kulkarni@yahoo.com  ,6041757108,(91)8910422593,1991-09-24,Other,"219, Banjara Hills",Madurai,TN,India,113501,2023-09-28,,1,7551.32,SMS,False,,True, None  ,Web,47.11.224.32,21.889757,87.477517,INT-731322,LC-239,38.95,,,
13428,Aarav Khan,aarav4425@yahoo.com,(91)8362740246,,,Other,"222, FC Road",Coimbatore,,India,655352,2023-09-20,2025-08-26,5,10459.53,Whatsapp,N,Call after 6PM,N,Silver,Web,165.173.214.202,14.577499,74.495922,INT-740499,LC-713,71.23,,,TP-8490
5577,Isha Chettiar,isha.chettiar@example.com,(91)8909718302,,1991-01-28,Male,"161, FC Road",Indore,MP,India,,2019-06-16,2023-01-13,4,8057.79,Phone,0,,yes,None,Web,121.170.186.160,14.549011,85.697736,INT-978577,,48.47,,,TP-3726
14195,Aditya Nair  ,aditya-nair@outlook.com,,,2002-06-12,Other,,Hyderabad,TS,India,224565,2022-11-15,,4,3645.54,Phone  ,False, ,False,None,iOS,57.4.128.216,19.368443,82.28736,INT-441638,LC-332,42.94,,,TP-1407
8295,Karthik Menon,karthik6485@yahoo.com,8282930444,,,Male,"92, FC Road",Indore,MP,India,972718,2023-04-15,2025-08-03,3,2871.38,Phone,Y,Call after 6PM,yes,None  ,Web,211.108.223.45,12.083408,75.191981,INT-869028,LC-162,68.45,,,
10566,Ishaan Mukherjee,ishaan.mukherjee@example.com.com,6432695100,8904602018,,Female,"200, FC Road",Delhi,DL,India,674511,2022-01-20,2022-08-01,5,8675.44,SMS,Y,Duplicate lead,Y,Bronze,Android,100.84.214.69,17.445472,86.730526,INT-722597,,41.52,,,
825,Sai Sharma,sai-sharma@yahoo.com,7601875432,,1979-07-23,Female,"25, Park Street",Surat,GJ  ,India,264051,2017-06-09,2018-05-25,6,2780.98,Push,0,Wrong email?,True,None,Android,46.169.17.149,12.265227,78.32999,INT-189142,,26.33,,,
14751,Diya Reddy,diya-reddy@gmail.com,9254680960,,1982-12-14,Other,"90, Brigade Rd",Chennai  ,TN,India,387911,2021-06-02,2025-08-04,2,4623.88,Email,True,,False,Gold,iOS,217.64.123.85,10.696574,80.877281,INT-128932,,30.79,,,
12185,Pari Singh,pari-singh@ksrdatavizon.in,9095718377,,1980-10-10,,"167, Brigade Rd",Kolkata,WB,India,170518,2025-07-25,2025-08-11,11,11384.38,Push  ,False,Call after 6PM,False,None  ,iOS,17.125.154.172,18.583843,77.390435,INT-801677,,71.32,,,TP-3054
12245,Diya Subramanian, diya7124@yahoo.com  ,(91)8647574116,,1997-03-13,Male,"217, Banjara Hills",Coimbatore,TN,India,592544,2020-02-06,2024-08-28,5,8783.93,Push,1, Wrong email?  ,no,Bronze,Web,101.145.183.27,18.520614,75.541273,INT-844100,,63.23,,,
14931,Arjun Kulkarni,arjun5316@example.com,(91)9023929001,7898372019,1985-04-11,Male,"70, CG Road",Bengaluru,KA,India,200423,2018-06-15,2018-07-13,2,5227.97,Whatsapp,0,VIP customer,Y,Bronze,Android,154.11.28.202,23.823402,82.670903,INT-490023,,64.14,,,TP-2522
1803,Aadhya Chatterjee,aadhya@@ksrdatavizon.in,(91)6376906436,(91)8319629279,1977-07-06,Male,,Lucknow,UP,India,006072,2024-06-28,2024-10-11,3,11354.86,SMS,0,,Y,Bronze,iOS,129.172.161.131,13.376698,85.247001,INT-817594,,71.78,,,
7789,Isha Prasad,isha.prasad@gmail.com,(91)7295569123,,1982-08-07,Other,"232, Anna Salai  ",Delhi,DL,India,760886,2025-03-04,2025-08-17,6,6540.11, Whatsapp,False,Call after 6PM,False, Bronze,Android,234.89.141.85,15.586088,78.310697,INT-378670,LC-294,48.99,,,
2689,Aarohi Singh,aarohi@outlook.com,(91)7467592374,(91)7462202813,1967-04-05,,"181, MG Road",Kolkata,WB,India,875342,2023-04-18,2025-08-22,5,1715.8,SMS,1,Call after 6PM,Y, None,Web,216.98.138.236,19.30545,80.692913,INT-811301,,66.67,,ze97ksrybf8q7bwwxcqe2rgu,
10364,Anika Chatterjee,anika@ksrdatavizon.in  ,9741323870,,2000-10-07,Female,"36, MG Road",Indore,MP,India,068047,2021-08-30,2024-11-11,10,6709.06,Email,1,,N,Silver,iOS,13.47.128.187,17.900035,72.51861,INT-164064,LC-713,45.59,,,TP-5637
2130,Rohan Gupta, rohan-gupta@example.com  ,6175165832,,1983-10-10,Other,"238, Anna Salai",Chennai, TN,India,466181,2019-05-09,2024-03-14,5,6308.59,Push  ,N,  ,Y,Silver,Android,101.85.118.244,12.531859,78.029701,INT-173523,LC-737,50.9,,,TP-1354
13623,Aarohi Gupta, aarohi_gupta@example.com,(91)7928223774,(91)9913836852,2002-10-20,Other,"154, FC Road", Lucknow  ,UP  ,India,742831,2017-02-06,2021-09-01,6,5307.43, Email  ,1,,True, None  ,Web,186.73.190.111,19.76516,75.363385,INT-218834,,65.95,,,
3359,Aditya Kulkarni,aditya-kulkarni@outlook.com,6516894931,,1999-03-21,Other,"98, FC Road",Bengaluru,KA,India,166730,2019-01-29,2024-11-17,5,8100.15,Email,0,Duplicate lead,True, None  ,Android,30.213.12.171,21.760216,70.821705,INT-965456,,51.17,,,
13111,Aadhya Nair, aadhya_nair@ksrdatavizon.in,7822404881,,1999-11-16,Male,"240, Banjara Hills", Madurai  , TN,India,678035,2018-01-02,2018-02-03,4,7045.54,Push,1,Duplicate lead,N,None,Android,92.57.201.52,11.99297,74.253012,INT-443020,,23.57,,,
2468,Anika Kulkarni,anika6056@example.com,(91)6736659266,,1974-04-20,Male,"208, FC Road",Mysuru,KA,India,507911,2022-07-12,2025-05-21,5,5186.17,Whatsapp,N,,True,Silver,iOS,125.46.42.45,28.282992,81.336913,INT-280750,,68.78,nv1dc5iUSxbyee2N,,TP-5060
2002,Vivaan Subramanian,vivaansubramanian@yahoo.com ,(91)7694623813,,1968-05-22,Female,"119, CG Road",Vijayawada,AP,India,433420,2024-01-27,2025-08-26,6,10767.6,Email,False,,False,Bronze,Android,180.102.22.122,27.549495,69.061203,INT-192680,,62.72,,,TP-4361
8224,Vihaan Pillai, vihaan2947@example.com,6667385455,,,Male,"293, Brigade Rd  ",Trichy,,India,271725,2022-04-06,2024-08-31,4,6870.0,Phone,Y,Wrong email?,True,None,iOS,45.98.175.99,23.479123,74.472985,INT-488830,,22.01,,,TP-5170
13383, Aarohi Reddy  ,aarohi715@yahoo.com  ,(91)8197070125,,,Male," 247, CG Road",Mysuru,nan,India,813806,2025-08-26,,6,4557.04,Push,False,VIP customer,yes,Bronze,Android,173.131.38.26,8.252504,77.7432,INT-482581,,54.87,,,
5305, Vivaan Reddy,vivaan.reddy@outlook.com.com,(91)9198885983,,1975-11-04,Other,"237, Anna Salai",Indore, MP,India,206865,2020-09-05,2022-11-13,2,14792.59, Email,1,,no,None,Web,101.114.27.222,8.726764,87.450422,INT-275071,LC-973,26.39,,,
560,Nisha Patel,nisha.patel@ksrdatavizon.in,,7673816694,1986-01-31,Male,"269, Park Street",Coimbatore,TN,India,168242,2019-03-21,2023-12-11,2,9733.61, Push  ,False,VIP customer,no,Bronze,Android,71.200.19.95,11.345345,74.569304,INT-309306,,33.99,,,
9872, Nisha Singh,nisha@@gmail.com,(91)6204032088,,1988-09-26,Male,"214, FC Road",Kolkata, WB  ,India,625716,2019-10-12,,7,3635.91,Phone,0,Duplicate lead,no, Bronze,iOS,2.15.16.228,12.022581,69.477428,INT-501059,,88.23,ulg1SRggtLAGOxyP,,
7740,Isha Reddy,ishareddy@yahoo.com ,9444105543,,,Female,"187, FC Road",Jaipur,RJ,India,072640,2023-12-18,2024-07-25,9,4619.05,Email,1,,Y,Silver,iOS,162.166.125.119,15.076045,84.155966,INT-805199,LC-929,32.75,,,
1941,Isha Das,ishadas@yahoo.com ,9857739068,,1987-07-13,," 276, Park Street  ",Pune,MH,India,584293,2024-11-11,2025-07-08,4,4632.85, SMS  ,False, VIP customer,no,Gold,Android,151.216.79.94,27.059631,82.351269,INT-450649,LC-778,61.0,,,
6613,Sara Rao,sara@@example.com,6791305702,9955463567,2001-09-29,Female,"239, Brigade Rd",Ahmedabad, GJ  ,India,669047,2017-04-02,2023-02-23,2,4471.19,Phone,Y,VIP customer,False,None,Web,203.191.167.193,22.634901,72.653785,INT-532547,,56.89,,,
9739,Aditya Reddy,aditya.reddy@gmail.com.com,7355174591,,1996-10-18,Other,"86, Brigade Rd",Coimbatore,TN,India,529826,2023-03-26,,5,10575.93,Phone,True,,Y,Bronze,iOS,219.185.72.66,9.765286,73.786179,INT-511215,,32.63,6MAQDA7rCJGc8tjV,,TP-1988
2080,Rohan Prasad,rohan@ksrdatavizon.in,8982274856,,1995-07-13,,"294, Banjara Hills",Kolkata,WB,India,,2025-04-10,2025-08-14,4,4185.32,Email,0,Wrong email?,yes,Bronze,iOS,5.15.240.190,17.243062,76.161408,INT-726481,,35.96,stxFhRnck3nLyAPD,,
9331,Aarav Subramanian,aarav.subramanian@outlook.com.com,8995019057,,1996-09-10,Female,"227, Park Street",Bengaluru,KA,India,535948,2017-01-29,2022-06-19,4,8214.92,SMS,True,,Y,Bronze,iOS,122.146.89.126,14.324656,79.632553,INT-887404,LC-459,38.73,,,
9489,Anika Verma  , anika_verma@outlook.com,(91)9752200119,,1986-09-24,Male,"180, Park Street",Delhi,DL,India,,2018-12-03,2019-06-21,3,6278.4,Phone,N,Wrong email?,no,Gold,Android,83.113.97.10,10.330649,78.745493,INT-326264,LC-910,24.75,,,
6559,Pari Kulkarni, pari@ksrdatavizon.in,(91)7918927872,,1979-11-29,Male,"4, MG Road",Kochi,KL,India,119191,2022-01-05,2022-11-20,2,7026.42,SMS,False,,no,Gold,iOS,230.214.127.77,26.990421,86.407231,INT-995190,LC-156,71.93,,,
8913,Meera Singh,meera.singh@ksrdatavizon.in,7581858990,,1976-07-30,Other,"68, Brigade Rd",Vijayawada  ,AP,India,614188,2023-03-17,2023-10-05,1,5910.61,Whatsapp,Y,VIP customer,Y,None,iOS,79.110.187.152,18.795321,69.526457,INT-644411,,22.56,,,TP-5722
1749,Nisha Pillai,nisha-pillai@yahoo.com,(91)7630563481,8926308597,1980-11-26,,, Vizag  ,AP,India,373733,2018-03-07,2018-10-29,7,5358.73,Whatsapp,False,,False,Silver,iOS,231.143.62.231,25.581259,87.821961,INT-398873,,20.53,u8ekOqqpkSnnyD4R,,
11484,Karthik Khan,karthik6741@example.com,9193824378,(91)7978034126,1968-08-09,Male,"99, MG Road",Kolkata, WB,India,185657,2018-12-20,2023-08-17,2,5932.26,SMS,True,,False,None,Web,203.211.95.15,21.263526,76.023593,INT-212794,,35.0,,,TP-1822
3138,Krishna Prasad, krishna_prasad@example.com,(91)8452487977,(91)7536613761,1972-02-13,Female," 211, Anna Salai", Jaipur  ,RJ,India,762817,2021-02-23,2025-08-24,6,4356.45,Whatsapp,N,,False,Silver,Android,229.232.111.160,27.143932,78.598096,INT-515638,LC-718,51.23,,,
3082,Isha Chettiar,isha@@example.com,8807402421,,1975-03-01,Male,nan  ,Ahmedabad,GJ,India,707201,2022-04-04,2023-07-25,4,853.32,SMS,False,,yes, Silver  ,Web,214.89.50.107,25.289139,84.87795,INT-831710,LC-655,21.11,,,
8785,Meera Singh,meera-singh@outlook.com,(91)9694174766,,1992-03-26,Female,"118, CG Road",,AP,India,018299,2020-01-17,2025-07-27,4,6680.88,Whatsapp,False,Call after 6PM,N,Bronze,Android,109.202.29.104,28.280774,84.526922,INT-281124,LC-129,40.68,UYL1ZjFZDGIcarmu,,
6963,Anika Pillai, anika2359@example.com,8172228505,7181138685,,Other,"220, Banjara Hills",Vijayawada  , AP,India,834166,2022-08-23,2024-10-10,8,4763.58,Phone,Y,Call after 6PM,Y,Bronze,iOS,137.250.95.61,18.175242,69.653131,INT-124500,LC-394,60.57,,,
214,Aadhya Chatterjee,aadhya.chatterjee@gmail.com.com,(91)7014499045,,1987-04-26,,"140, Banjara Hills",Pune, MH,India,687385,2025-01-06,2025-08-22,7,10736.46,Whatsapp,Y,VIP customer,True,Gold,iOS,160.78.223.52,16.924594,77.715528,INT-288805,,14.63,,,
7441,Aarohi Iyer,aarohi.iyer@outlook.com.com,9273429069,,1966-11-18,," 100, Anna Salai  ",Jaipur,RJ,India,152823,2017-07-19,2023-07-22,5,1519.91,SMS,True,Duplicate lead,True,None,Web,,19.101218,87.09305,INT-143393,,46.06,,,TP-7163
5628,Sara Gowda, sara_gowda@gmail.com,(91)7261284809,(91)9017655062,1986-04-01,Other,"84, Park Street",Vijayawada,AP,India,633556,2017-05-28,2019-08-18,10,10893.35,SMS,N,Duplicate lead,no,Silver,Android,195.179.98.9,20.830212,75.883404,INT-676630,,60.14,,,
6544,Aarav Menon,aarav.menon@outlook.com.com,(91)8083808509,(91)6761163446,2002-12-31,Male,"128, Anna Salai",Kochi  ,KL,India,049669,2018-07-28,2023-12-05,3,6683.87, Push  ,1,,Y,Silver,Web,87.109.200.220,25.384478,81.709138,INT-312583,,46.5,LhFtTS7mfkjZAZRa,,TP-7151
8238,Aadhya Reddy,aadhya@@ksrdatavizon.in,(91)6155765532,,1965-09-30,Other,"195, FC Road",Surat,GJ,India,853663,2023-01-07,2025-08-29,5,8952.86, Phone  ,0,Call after 6PM,Y,Gold,Web,191.209.192.198,20.562964,80.405215,INT-125664,,52.66,,,
5914,Anaya Patel,anaya.patel@gmail.com.com,7491938183,,1978-04-04,Other,"270, Brigade Rd",Hyderabad,,India,269095,2019-08-03,2022-12-17,4,8307.85,Email  ,0,Duplicate lead  ,True,Silver,Web,230.42.63.193,26.951604,80.320058,INT-326757,,41.26,,z4temdd292x8u73plppf1919,
14709,Anaya Verma,,7912493658,,1973-09-04,Female,"246, Park Street", Vizag  , AP  ,India,208461,2022-12-07,2024-09-02,7,9141.91,Push,False, Wrong email?  ,N,Silver  ,Android,19.22.72.208,15.61972,77.093189,INT-842158,LC-702,24.15,,,TP-7594
13595,Aarohi Singh,aarohisingh@yahoo.com ,(91)8836893950,(91)9484768331,1982-05-31,Female,"270, FC Road",Lucknow,UP,India,121093,2021-10-14,2023-02-07,8,3670.29,Push,True,   ,Y,Bronze,Web,151.21.102.105,21.085775,76.42988,INT-424929,,50.14,YGvlQjfBkRsya1ze,,
10445,Isha Menon,isha3249@outlook.com,(91)6561885474,7157640898,,Other,"149, Brigade Rd",Coimbatore,TN,India,634826,2022-07-06,2023-12-23,7,3539.58,Phone,True,VIP customer,yes,None,Android,17.56.222.24,25.654477,72.47018,INT-617965,,72.7,,,
12059,Sara Menon, sara_menon@outlook.com,7481736283,6561133930,,,"122, Banjara Hills",Chennai,TN,India,435047,2023-04-07,2024-05-05,3,4217.79,Whatsapp,1,,False,Gold,iOS,,13.288397,70.502293,INT-778454,LC-271,63.39,,c7lsel84mjt28fk3q88k4n50,
4468,Diya Das,diya815@yahoo.com,(91)9397546570,,1974-05-06,Female,"125, Park Street",Coimbatore,TN,India,744358,2017-09-28,2019-02-07,3,13214.28, Whatsapp,Y,,True, Bronze,Android,206.159.19.229,14.640705,74.869761,INT-128720,LC-351,39.92,,i7smirg7s3gsv1bvz9uqwub3,TP-8484
2590,Rohan Kulkarni,rohankulkarni@yahoo.com ,(91)6220626205,(91)7642662419,1982-07-18,Female,"171, Park Street",Coimbatore, TN  ,India,321634,2018-04-02,2022-08-25,7,2915.78,SMS  ,1,  ,Y,Bronze,Android,176.34.45.77,22.171775,83.051554,INT-168458,LC-808,56.08,,f6s9r5dprkjzanlaj87vecun,TP-4901
12084,Aadhya Menon,,(91)7588557553,,2004-09-25,Other,"168, Brigade Rd",Mysuru,KA,India,941617,2017-01-07,2022-03-05,5,8366.71,Phone,0,,Y,None,Web,28.182.211.44,19.024104,68.250097,INT-961633,,34.31,,xmrf8hrghgdkhsb48gd6v72m,
3034,Isha Kulkarni,isha.kulkarni@ksrdatavizon.in.com,(91)7033839795,,,Other,,Coimbatore,TN,India,590259,2021-09-16,2025-08-29,2,15687.19,Whatsapp,Y,Wrong email?,no,Silver,Android,101.87.214.233,12.10967,78.730041,INT-304433,LC-326,43.64,,,
6356,Aarav Iyer  , aarav@example.com,7456360486,,1985-04-27,Other,"240, Anna Salai",Kolkata,WB,India,314702,2022-10-21,2025-05-03,6,5935.39,Whatsapp,0,,False,None,iOS,39.129.224.173,17.606692,82.769265,INT-516367,,32.21,,,
8577, Aarav Khan  ,aaravkhan@example.com ,(91)6040623183,(91)6199953963,1970-12-07,Other,"151, Anna Salai",Lucknow,UP,India,,2022-05-30,,4,7933.77,SMS,N,,no, None  ,Android,126.32.120.28,10.531673,86.544996,INT-309673,,58.46,,,
9572,Nisha Menon, nisha_menon@example.com,(91)8982316179,,1965-07-05,Female,"223, Anna Salai",Bhopal,MP,India,821783,2025-04-23,2025-08-17,6,3953.81,Push,Y, Call after 6PM,False,Bronze,iOS,188.227.89.164,10.597528,87.105599,INT-497876,LC-661,42.06,,,
